        PRECISION           RECALL              FSCORE
Viterbi: 0.20399081758785093 0.18826593678262404 0.1930198952263214

Interpolated:
0.0 0.6890696347031964 0.6875 0.6806792237442925
0.01 0.6886415525114156 0.6870719178082192 0.6802511415525117
0.02 0.6892836757990868 0.6875 0.6808219178082195
0.03 0.6897117579908676 0.6879280821917808 0.6812500000000004
0.04 0.6873573059360731 0.6862157534246576 0.6792522831050232
0.05 0.6869292237442922 0.6853595890410958 0.6785388127853885
0.06 0.6873573059360731 0.6857876712328768 0.6789668949771693
0.07 0.6869292237442922 0.6853595890410958 0.6785388127853885
0.08 0.6873573059360731 0.6857876712328768 0.6789668949771693
0.09 0.6871432648401827 0.6853595890410958 0.6786815068493154
0.1 0.6871432648401827 0.6853595890410958 0.6786815068493154
0.11 0.6871432648401827 0.6857876712328768 0.6789668949771693
0.12 0.6871432648401827 0.6857876712328768 0.6789668949771693
0.13 0.6871432648401827 0.6857876712328768 0.6789668949771692
0.14 0.6873573059360731 0.6857876712328768 0.6791095890410961
0.15 0.6870005707762558 0.6853595890410958 0.6785673515981737
0.16 0.6857163242009133 0.6840753424657534 0.6772831050228313
0.17 0.6857163242009133 0.6840753424657534 0.6772831050228313
0.18 0.6861444063926941 0.6845034246575342 0.6777111872146121
0.19 0.6853595890410958 0.6836472602739726 0.676926369863014
0.2 0.684931506849315 0.6832191780821918 0.6764982876712331
0.25 0.6837186073059361 0.6823630136986302 0.6753567351598178
0.3 0.681292808219178 0.6810787671232876 0.6734731735159822
0.35 0.6797945205479452 0.6797945205479452 0.6721889269406398
0.39999999999999997 0.6782962328767124 0.6785102739726028 0.6709046803652973
0.44999999999999996 0.677796803652968 0.6767979452054794 0.6696917808219183
0.49999999999999994 0.675228310502283 0.6750856164383562 0.6674086757990874
0.5499999999999999 0.6711615296803652 0.6720890410958904 0.66355593607306
0.5999999999999999 0.6681649543378995 0.6690924657534246 0.6604166666666672
0.6499999999999999 0.6655964611872146 0.666095890410959 0.6578481735159822
0.7 0.6615296803652968 0.6618150684931506 0.6537100456621009
0.7499999999999999 0.658533105022831 0.6592465753424658 0.650998858447489
0.7999999999999998 0.652611301369863 0.6541095890410958 0.6454623287671237
0.8499999999999999 0.6494006849315068 0.6519691780821918 0.6426084474885849
0.8999999999999999 0.6483304794520548 0.6506849315068494 0.6416095890410964
0.9499999999999998 0.6451912100456622 0.6472602739726028 0.6383989726027401
0.9999999999999998 0.6433361872146119 0.6455479452054794 0.6367579908675804
