confidence_min,duplicate_threshold,window_size,window_step_percent,x_intersection_allowed,inner_sliding_window,intersect,crop,complex_nn,vary_lines,make_lines,bbox_precision,bbox_recall,bbox_fscore,avg_iou,class_precision,class_recall,class_fscore
0.64,0.14,1100,0.3,0.98,False,False,False,True,False,True,0.9675652906486942,0.8860173577627772,0.9249974831370181,0.7501417615556566,0.83398262530007,0.8236830648672181,0.8248716754656108
0.64,0.145,1100,0.3,0.98,False,False,False,True,False,True,0.9673615497999579,0.8860173577627772,0.9249043688343065,0.750123548964279,0.83398262530007,0.8236830648672181,0.8248716754656108
0.62,0.125,1100,0.3,0.99,False,False,False,True,False,True,0.9651720542231491,0.8925747348119576,0.9274549098196393,0.7493882947455526,0.830910900309903,0.8210890233362144,0.8221069406578938
0.62,0.13,1100,0.3,0.99,False,False,False,True,False,True,0.9652083333333333,0.8935390549662487,0.9279919879819729,0.7493409140168948,0.8306579549327331,0.8208504208935895,0.8218618484493332
0.62,0.135,1100,0.3,0.99,False,False,False,True,False,True,0.9650509673392969,0.8946962391513983,0.9285428342674138,0.7492166178684025,0.8306278652303668,0.8208665660702738,0.8218614784258508
0.62,0.14,1100,0.3,0.99,False,False,False,True,False,True,0.9650509673392969,0.8946962391513983,0.9285428342674138,0.7492121671178377,0.8306278652303668,0.8208665660702738,0.8218614784258508
0.62,0.145,1100,0.3,0.99,False,False,False,True,False,True,0.9648502495840267,0.8946962391513983,0.9284499149404584,0.7491941311952707,0.8306278652303668,0.8208665660702738,0.8218614784258508
0.625,0.125,1100,0.3,0.99,False,False,False,True,False,True,0.9665341978665551,0.8912246865959499,0.9273530002006823,0.7495249075731295,0.8312056862759539,0.8214672148885522,0.8224516489749186
0.625,0.13,1100,0.3,0.99,False,False,False,True,False,True,0.9665551839464883,0.8918032786885246,0.9276757949643897,0.749505075093476,0.8310652903611099,0.8213667820069204,0.8223464736904701
0.625,0.135,1100,0.3,0.99,False,False,False,True,False,True,0.9663953245668963,0.892960462873674,0.9282277465918204,0.7493803245968637,0.831034967871294,0.8213822894168467,0.8223459699463719
0.625,0.14,1100,0.3,0.99,False,False,False,True,False,True,0.9664023372287145,0.8931533269045323,0.9283351708930541,0.74936021492429,0.8308856351173837,0.8212049233426906,0.8221669419730882
0.625,0.145,1100,0.3,0.99,False,False,False,True,False,True,0.9662007093678281,0.8931533269045323,0.9282421326919222,0.7493421478448711,0.8308856351173837,0.8212049233426906,0.8221669419730882
0.63,0.125,1100,0.3,0.99,False,False,False,True,False,True,0.9668554646528215,0.8889103182256509,0.9262459807073955,0.7497491461410762,0.832568999897309,0.8225211542633977,0.8236049952898347
0.63,0.13,1100,0.3,0.99,False,False,False,True,False,True,0.9668763102725367,0.8894889103182256,0.9265695630336515,0.7497291161970993,0.8324267933527654,0.822419774501301,0.823498434550182
0.63,0.135,1100,0.3,0.99,False,False,False,True,False,True,0.9667155118275068,0.8906460945033752,0.927123067657097,0.7496037504444061,0.8323926296898386,0.8224339540926808,0.8234961939314208
0.63,0.14,1100,0.3,0.99,False,False,False,True,False,True,0.9667224780242779,0.8908389585342333,0.9272307537890193,0.7495835401565654,0.8322430287868535,0.8222558995453562,0.8233164621071061
0.63,0.145,1100,0.3,0.99,False,False,False,True,False,True,0.9665201925088931,0.8908389585342333,0.9271376957045364,0.7495654261395078,0.8322430287868535,0.8222558995453562,0.8233164621071061
0.635,0.125,1100,0.3,0.99,False,False,False,True,False,True,0.9673890174626552,0.8867888138862102,0.925337089957738,0.7500360755995122,0.8330900855216511,0.8227490213136146,0.8238979735145725
0.635,0.13,1100,0.3,0.99,False,False,False,True,False,True,0.9674095878889823,0.8873674059787849,0.9256614022734131,0.7500158106810167,0.832947164672929,0.8226472505976962,0.8237913528420405
0.635,0.135,1100,0.3,0.99,False,False,False,True,False,True,0.9672406551868963,0.8883317261330762,0.9261083743842364,0.7499248170623852,0.8331113783676549,0.8228397742075554,0.8239770500169982
0.635,0.14,1100,0.3,0.99,False,False,False,True,False,True,0.9672475330673945,0.8885245901639345,0.926216324889425,0.7499044844411231,0.8329623985231998,0.8226611677881485,0.8237977193107708
0.635,0.145,1100,0.3,0.99,False,False,False,True,False,True,0.9670445004198153,0.8885245901639345,0.9261232284651723,0.749886323241907,0.8329623985231998,0.8226611677881485,0.8237977193107708
0.64,0.125,1100,0.3,0.99,False,False,False,True,False,True,0.9677078936260025,0.8842815814850531,0.9241156908193088,0.7502919063957886,0.8342087737866417,0.8239912758996728,0.82515784609232
0.64,0.13,1100,0.3,0.99,False,False,False,True,False,True,0.9677283273570977,0.8848601735776278,0.9244408623816239,0.7502714167745186,0.8340648243280864,0.8238884045335658,0.8250501408676332
0.64,0.135,1100,0.3,0.99,False,False,False,True,False,True,0.9675721204464097,0.8862102217936355,0.9251056976041876,0.7501372906670245,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.64,0.14,1100,0.3,0.99,False,False,False,True,False,True,0.9675721204464097,0.8862102217936355,0.9251056976041876,0.7501307512952513,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.64,0.145,1100,0.3,0.99,False,False,False,True,False,True,0.9673684210526315,0.8862102217936355,0.9250125817815802,0.750112542667441,0.8342146552259753,0.8239390642002177,0.8251251306214527
0.62,0.125,1100,0.3,1,False,False,False,True,False,True,0.9651720542231491,0.8925747348119576,0.9274549098196393,0.7493882947455526,0.830910900309903,0.8210890233362144,0.8221069406578938
0.62,0.13,1100,0.3,1,False,False,False,True,False,True,0.9652083333333333,0.8935390549662487,0.9279919879819729,0.7493409140168948,0.8306579549327331,0.8208504208935895,0.8218618484493332
