k=2
u, p, r, fscore
0.0 0.834651737615414 0.83304 0.8320466082683252
0.01 0.8347772434668481 0.83336 0.832293040311137
0.02 0.8344771047556333 0.83308 0.8319426874325511
0.03 0.8343946628899361 0.83304 0.8318598552688324
0.04 0.834264597393813 0.83288 0.8316700936392344
0.05 0.834408582724093 0.833 0.8317310070422961
